DATE,DEXMXUS
1993-11-08,3.152
1993-11-09,3.240
1993-11-10,3.240
1993-11-11,.
1993-11-12,3.240
1993-11-15,3.215
1993-11-16,.
1993-11-17,.
1993-11-18,3.108
1993-11-19,3.115
1993-11-22,3.1022
1993-11-23,3.1026
1993-11-24,3.103
1993-11-25,.
1993-11-26,3.114
1993-11-29,3.110
1993-11-30,3.1055
1993-12-01,3.1038
1993-12-02,3.106
1993-12-03,3.1045
1993-12-06,3.106
1993-12-07,3.1052
1993-12-08,3.1066
1993-12-09,3.107
1993-12-10,3.117
1993-12-13,3.1148
1993-12-14,3.113
1993-12-15,3.107
1993-12-16,3.106
1993-12-17,3.106
1993-12-20,3.110
1993-12-21,3.110
1993-12-22,3.115
1993-12-23,3.110
1993-12-24,3.105
1993-12-27,3.106
1993-12-28,3.106
1993-12-29,3.110
1993-12-30,3.108
1993-12-31,.
1994-01-03,3.108
1994-01-04,3.120
1994-01-05,3.1065
1994-01-06,3.106
1994-01-07,3.106
1994-01-10,3.116
1994-01-11,3.109
1994-01-12,3.1095
1994-01-13,3.106
1994-01-14,3.1085
1994-01-17,.
1994-01-18,3.106
1994-01-19,3.106
1994-01-20,3.1065
1994-01-21,3.106
1994-01-24,3.106
1994-01-25,3.1055
1994-01-26,3.107
1994-01-27,3.1062
1994-01-28,3.105
1994-01-31,3.106
1994-02-01,3.105
1994-02-02,3.105
1994-02-03,3.105
1994-02-04,3.105
1994-02-07,3.1052
1994-02-08,3.1053
1994-02-09,3.106
1994-02-10,3.105
1994-02-11,3.106
1994-02-14,3.105
1994-02-15,3.105
1994-02-16,3.105
1994-02-17,3.105
1994-02-18,3.1055
1994-02-21,.
1994-02-22,3.1125
1994-02-23,3.118
1994-02-24,3.210
1994-02-25,3.205
1994-02-28,3.195
1994-03-01,3.180
1994-03-02,3.260
1994-03-03,3.250
1994-03-04,3.245
1994-03-07,3.253
1994-03-08,3.256
1994-03-09,3.310
1994-03-10,3.285
1994-03-11,3.295
1994-03-14,3.290
1994-03-15,3.310
1994-03-16,3.307
1994-03-17,3.300
1994-03-18,3.325
1994-03-21,3.330
1994-03-22,3.330
1994-03-23,3.3375
1994-03-24,.
1994-03-25,3.3586
1994-03-28,3.3598
1994-03-29,3.350
1994-03-30,3.361
1994-03-31,3.365
1994-04-01,.
1994-04-04,3.3626
1994-04-05,3.363
1994-04-06,3.363
1994-04-07,3.363
1994-04-08,3.3642
1994-04-11,3.3654
1994-04-12,3.365
1994-04-13,3.3662
1994-04-14,3.3666
1994-04-15,3.3645
1994-04-18,3.368
1994-04-19,3.3686
1994-04-20,3.369
1994-04-21,3.3694
1994-04-22,3.3698
1994-04-25,3.359
1994-04-26,3.310
1994-04-27,3.273
1994-04-28,3.280
1994-04-29,3.280
1994-05-02,3.270
1994-05-03,3.310
1994-05-04,3.312
1994-05-05,.
1994-05-06,3.320
1994-05-09,3.338
1994-05-10,3.335
1994-05-11,3.325
1994-05-12,3.330
1994-05-13,3.322
1994-05-16,3.330
1994-05-17,3.331
1994-05-18,3.334
1994-05-19,3.316
1994-05-20,3.3125
1994-05-23,3.300
1994-05-24,3.286
1994-05-25,3.300
1994-05-26,3.315
1994-05-27,3.315
1994-05-30,.
1994-05-31,3.332
1994-06-01,3.330
1994-06-02,3.320
1994-06-03,3.325
1994-06-06,3.330
1994-06-07,3.360
1994-06-08,3.357
1994-06-09,3.362
1994-06-10,3.365
1994-06-13,3.3735
1994-06-14,3.373
1994-06-15,3.368
1994-06-16,3.368
1994-06-17,3.365
1994-06-20,3.372
1994-06-21,3.375
1994-06-22,3.378
1994-06-23,3.390
1994-06-24,3.390
1994-06-27,3.395
1994-06-28,3.391
1994-06-29,3.389
1994-06-30,3.400
1994-07-01,3.395
1994-07-04,.
1994-07-05,3.400
1994-07-06,3.3958
1994-07-07,3.405
1994-07-08,3.405
1994-07-11,3.405
1994-07-12,3.4025
1994-07-13,3.405
1994-07-14,3.403
1994-07-15,3.403
1994-07-18,3.405
1994-07-19,3.402
1994-07-20,3.4054
1994-07-21,3.4035
1994-07-22,3.405
1994-07-25,3.4045
1994-07-26,3.4078
1994-07-27,3.406
1994-07-28,3.398
1994-07-29,3.405
1994-08-01,3.4005
